,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,29.1573699315389,11.384977097355408,0.5714286963144938,0.08211235330823541,tanh,0.0001,"(100, 50, 25)",constant,500,sgd,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 50, 25), 'learning_rate': 'constant', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
159,151.77545388539633,3.7146956889632974,0.4007084369659424,0.014875960354195316,relu,0.0001,"(4, 3, 2)",constant,1000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
160,60.42481565475464,0.7315822524575334,0.44638490676879883,0.030189100884523708,relu,0.0001,"(4, 3, 2)",constant,2000,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
161,149.9796773592631,1.7295847259626942,0.3853189945220947,0.05387232659366418,relu,0.0001,"(4, 3, 2)",constant,2000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'constant', 'max_iter': 2000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
162,73.75730601946513,0.7094605936991406,0.44260573387145996,0.014357487826276194,relu,0.0001,"(4, 3, 2)",adaptive,500,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
163,128.09541940689087,0.44897240351868506,0.4478028615315755,0.03995946653674375,relu,0.0001,"(4, 3, 2)",adaptive,500,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 500, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
164,74.85171222686768,0.6940104472549101,0.4196976025899251,0.033065675061703236,relu,0.0001,"(4, 3, 2)",adaptive,1000,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
165,153.2892947991689,1.4416870273367994,0.45736098289489746,0.04197658586230981,relu,0.0001,"(4, 3, 2)",adaptive,1000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
166,74.88664929072063,0.48819394480567707,0.4231477578481038,0.018247820351654682,relu,0.0001,"(4, 3, 2)",adaptive,2000,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'sgd'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
167,155.5550113519033,1.3704654829080243,0.44487206141153973,0.019385163979567573,relu,0.0001,"(4, 3, 2)",adaptive,2000,adam,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 3, 2), 'learning_rate': 'adaptive', 'max_iter': 2000, 'solver': 'adam'}",0.6527196652719666,0.6527196652719666,0.6554621848739496,0.6536338384726276,0.0012928361387328155,1,0.6540880503144654,0.6540880503144654,0.6527196652719666,0.6536319219669657,0.000645062895216767
